"Recherche : ";"Statut : Active"
Filtres;"Date de début d'activité : Du 31/12/1947 Au 20/04/1948 ; Forme juridique : Autre société civile , GFA, Groupement foncier agricole , Indivision entre personnes physiques , SAS, société par actions simplifiée|SASU, Société par actions simplifiée unipersonnelle, SELARL, Société d'exercice libéral à responsabilité limitée|Société d'exercice libéral à responsabilité limitée à associé unique (SELARLU), SNC, Société en nom collectif , Société anonyme à conseil d'administration (sans autre indication), Société anonyme à directoire (sans autre indication), Société civile immobilière (SCI), Société civile immobilière de construction-vente, Société commerciale étrangère immatriculée au RCS, Société coopérative agricole , , CUMA, Coopérative d'utilisation de matériel agricole en commun , Établissement public local à caractère industriel ou commercial, GF, Groupement forestier , Régie d'une collectivité locale à caractère industriel ou commercial , SARL, Société à responsabilité limitée (sans autre indication)|Société à responsabilité limitée à associé unique (SARLU ou EURL), SCEA, Société civile d'exploitation agricole , SCS, Société en commandite simple "
"Dénomination / Nom";"Début d'activité";SIREN;Représentants;"Adresse du siège";"Forme juridique";Activité;Département;Etablissements;Capital;Statut
"CUMA DE BATTAGES";05/03/1948;'777031105;"VINCENT MICHEL FRANCOIS BEGUE, ERIC BRISTOT, JEAN-PIERRE PAUL LAGARDE, GREGORY LAGARDE, JOEL EMILE PAUL TAUPIAC, JEAN MARC BERNARD ZANCHETTA";"MAIRIE 32380 SAINT-CREAC FRANCE ";"CUMA - Coopérative d'utilisation de matériel agricole en commun";"Utilisation de matériel agricole.";'32;;26675.53;Active
"LAITERIE DE SAINT-DENIS DE L'HOTEL";06/03/1948;'085581494;;"10 RTE DE L'AERODROME 45550 SAINT-DENIS-DE-L'HOTEL FRANCE ";"Société par actions simplifiée";"Commerce, industrie du lait, ramassage, production, vente, transformation de ces produits et sous-produits, crème, beurre, fromages, et d'une manière générale l'industrie laitière et les industries Agro-alimentaires dans tout leur développement, le traitement et le conditionnement de tous produits liquides";'45;"GRANDE RUE 45550 SAINT-DENIS-DE-L'HOTEL FRANCE ";471121;Active
"CUMA DE CHAPPES";07/03/1948;'778999664;"ALAIN BOULICAUD, PASCAL CLAUDE MERITET, BENOIT RAMILLON, JEAN TOURRET";"MAIRIE 03390 CHAPPES FRANCE ";"CUMA - Coopérative d'utilisation de matériel agricole en commun";"Mise à disposition de matériels agricoles aux adhérents";'03;;;Active
"SCI  33 RUE DE MONTREUIL A PANTIN";08/03/1948;'428551873;"CHRISTINE MARGURITE LUCIE JANINE MAUDUIT, CLAUDINE LOUISE LUCIE LINDECKER, CATHERINE SIMONNE MAUDUIT";"39 AV 39 avenue du General de Gaulle  77420 Champs-sur-Marne FRANCE ";"Société civile immobilière";"acquisition administration d'immeubles";'77;;30.49;Active
"AIR INDIA LIMITED";10/03/1948;'552111734;"PANKAJ Tiwari, CAMPBELL DAVID MCGREGOR Wilson";"3 RUE DES COLONNES 75002 PARIS FRANCE ";"Société étrangère immatriculée au RCS";"Transports aériens";'75;"1 RUE AUBER 75009 PARIS FRANCE BOMBAY INDE 4 AV DE SUEDE 06000 NICE FRANCE 20 QUAI DOCTEUR GAILLETON 69002 LYON FRANCE 8 RUE HALEVY 75009 PARIS FRANCE AEROPORT CHARLES DE GAULLE 77990 MAUREGARD FRANCE 1 RUE DU PIED SEC 93290 TREMBLAY-EN-FRANCE FRANCE 10 RUE DU PAVE 93290 TREMBLAY-EN-FRANCE FRANCE TERRITOIRE DE DELHI INDE AEROPORT CHARLES DE GAULLE 77990 LE MESNIL-AMELOT FRANCE 35 CHE DE LA VERNIQUE 69130 ECULLY FRANCE AEROPORT CHARLES DE GAULLE 93290 TREMBLAY-EN-FRANCE FRANCE ";5000000000;Active
"ENTREPRISE GENERALE DE CONSTRUCTIONRENEJONCOUR";10/03/1948;'375880408;"RENE YVES JONCOUR, ROMAIN JONCOUR";"16 RUE AN DOUR RUZ 29700 PLUGUFFAN FRANCE ";"Société par actions simplifiée";"Entreprise générale du bâtiment";'29;"28 RUE DU MOULIN AUX COULEURS 29000 QUIMPER FRANCE MANOIR KERHUENNEC AR GORRE 29700 PLUGUFFAN FRANCE ";620000;Active
"CHRISTIAN DIOR COUTURE";11/03/1948;'612035832;"DELPHINE Arnault, BERNARD ARNAULT, CAROLINE MIREILLE Bergeron";"30 AV MONTAIGNE 75008 PARIS FRANCE ";"SA à conseil d'administration";"L'exploitation directe ou indirecte et sous toutes ses formes de tous fonds de commerce la fabrication la distribution la concession de tous droits de licence, franchise agence, sous traitance ou autres accords en France et a l'étranger, dans le domaine delà haute couture, la mode la parure, l'habillement, les accessoires et plus généralement les produits et services de luxe divers, la prise en location gérance ou la mise en location gérance de tous fonds de commerce ou industrie se rapportant directement ou indirectement a l'objet ci-dessus la participation directe ou indirecte dans toutes opérations industrielles ou commerciales par voie de création, de sociétés nouvelles, d'apports de souscriptions ou achats de titres ou droits sociaux, fusion, prise en gestion, association en participation ou autrement, haute joaillerie.";'75;"11 RUE FRANCOIS IER 75008 PARIS FRANCE 3 RUE LOUIS JOSEPH PHILIPPE 41000 BLOIS FRANCE 18 RUE JEAN GOUJON 75008 PARIS FRANCE 11 B RUE FRANCOIS 1ER 75008 PARIS 08 FRANCE 32 AV MONTAIGNE 75008 PARIS FRANCE 41 AV MONTAIGNE 75008 PARIS FRANCE 28 AV MONTAIGNE 75008 PARIS FRANCE 38 BD DE LA CROISETTE 06400 CANNES FRANCE 18 RUE FRANCOIS IER 75008 PARIS FRANCE 7 B RUE JEAN GOUJON 75008 PARIS FRANCE 6 RUE DES ONZE ARPENTS 41000 BLOIS FRANCE 16 RUE DE L'ABBAYE 75006 PARIS FRANCE 46 RUE DU FAUBOURG SAINT-HONORE 75008 PARIS FRANCE 87 RUE PRESIDENT EDOUARD HERRIOT 69002 LYON FRANCE 40 RUE FRANCOIS IER 75008 PARIS FRANCE 8 PL VENDOME 75001 PARIS FRANCE 25 RUE ROYALE 75008 PARIS FRANCE 1 RUE GAMBETTA 83990 SAINT-TROPEZ FRANCE 1 LOT GUSTAVIA BAT A 97133 SAINT BARTHELEMY FRANCE 19 RUE DU CASINO 14800 DEAUVILLE FRANCE 15 RUE DU CASINO 14800 DEAUVILLE FRANCE 8 RUE DE WOLFENBUTTEL 92310 SEVRES FRANCE 26 AV MONTAIGNE 75008 PARIS FRANCE COURCHEVEL 1850 73120 COURCHEVEL FRANCE 75 RUE DE LA PAROISSE 78000 VERSAILLES FRANCE 27 RUE CHARLES SANGLIER 45000 ORLEANS FRANCE 4 RUE DE LA VILLE EN BOIS 44100 NANTES FRANCE 6 AV JEAN MEDECIN 06000 NICE FRANCE 40 BD HAUSSMANN 75009 PARIS FRANCE 24 RUE DE SEVRES 75007 PARIS FRANCE 64 BD HAUSSMANN 75009 PARIS FRANCE 61 RUE DE CAUMARTIN 75009 PARIS FRANCE 44 RUE FRANCOIS IER 75008 PARIS FRANCE 39 RUE NATIONALE 59000 LILLE FRANCE AEROPORT CHARLES DE GAULLE 95700 ROISSY-EN-FRANCE FRANCE 40 RUE GAMBETTA 83990 SAINT-TROPEZ FRANCE RUE FRANCOIS SIBILLI 83990 SAINT-TROPEZ FRANCE AEROPORT CHARLES DE GAULLE 95700 ROISSY-EN-FRANCE FRANCE AEROPORT CHARLES DE GAULLE 95700 ROISSY-EN-FRANCE FRANCE RUE DU ROCHER 73120 COURCHEVEL FRANCE 40 RUE GAMBETTA 83990 SAINT-TROPEZ FRANCE 24 RUE FRANCOIS IER 75008 PARIS FRANCE 17 RUE JEAN GOUJON 75008 PARIS FRANCE 25 RUE ROYALE 75008 PARIS FRANCE 7 RUE DE TEHERAN 75008 PARIS FRANCE 51 AV MONTAIGNE 75008 PARIS FRANCE 7 RUE JEAN GOUJON 75008 PARIS FRANCE 12 CRS ALBERT IER 75008 PARIS FRANCE 16 CRS ALBERT IER 75008 PARIS FRANCE 38 B CRS ALBERT 1ER 75008 PARIS 08 FRANCE 1 RUE FRANCOIS IER 75008 PARIS FRANCE 27 RUE JEAN GOUJON 75008 PARIS FRANCE 3 RUE DE MARIGNAN 75008 PARIS FRANCE 7 BD DE LA CROISETTE 06400 CANNES FRANCE 6 RUE DE MARIGNAN 75008 PARIS FRANCE LES TOVETS 73120 COURCHEVEL FRANCE 390 RUE SAINT-HONORE 75001 PARIS FRANCE 396 RUE SAINT-HONORE 75001 PARIS FRANCE 392 RUE SAINT-HONORE 75001 PARIS FRANCE 392 RUE SAINT-HONORE 75001 PARIS FRANCE 390 RUE SAINT-HONORE 75001 PARIS FRANCE 34 AV MONTAIGNE 75008 PARIS FRANCE 34 AV MONTAIGNE 75008 PARIS FRANCE 390 RUE SAINT-HONORE 75001 PARIS FRANCE 44 AV MONTAIGNE 75008 PARIS FRANCE 32 RUE DE MONCEAU 75008 PARIS FRANCE 384 RUE SAINT-HONORE 75001 PARIS FRANCE 7 RUE DE TILSITT 75008 PARIS FRANCE 40 RUE DU COLISEE 75008 PARIS FRANCE 46 AV MONTAIGNE 75008 PARIS FRANCE 28 CRS ALBERT IER 75008 PARIS FRANCE 3 RUE FRANCOIS IER 75008 PARIS FRANCE 26 RUE VERNET 75008 PARIS FRANCE 125 AV DES CHAMPS ELYSEES 75008 PARIS FRANCE 45 AV MONTAIGNE 75008 PARIS FRANCE 5 RUE DU FAUBOURG SAINT-HONORE 75008 PARIS FRANCE 22 B CRS ALBERT 1ER 75008 PARIS 08 FRANCE 120 AV DES CHAMPS ELYSEES 75008 PARIS FRANCE 17 AV MONTAIGNE 75008 PARIS FRANCE 82 AV MARCEAU 75008 PARIS FRANCE AEROPORT CHARLES DE GAULLE 95700 ROISSY-EN-FRANCE FRANCE 261 RUE SAINT-HONORE 75001 PARIS FRANCE 1618 B IMP D ANTIN 75008 PARIS 08 FRANCE ZI BRIANGAUD 35600 REDON FRANCE 23 AV FRANKLIN D. ROOSEVELT 75008 PARIS FRANCE 19 RUE DE LA MONNAIE 75001 PARIS FRANCE 15 RUE FRANCOIS IER 75008 PARIS FRANCE 11 RUE FRANCOIS IER 75008 PARIS FRANCE 30 AV MONTAIGNE 75008 PARIS FRANCE 2 AV MONTAIGNE 75008 PARIS FRANCE 14 RUE DES BELGES 06400 CANNES FRANCE 4 PL DES SAISONS 92400 COURBEVOIE FRANCE AEROPORT CHARLES DE GAULLE 95700 ROISSY-EN-FRANCE FRANCE 60 RUE DE BASSANO 75008 PARIS FRANCE 63 AV DES CHAMPS ELYSEES 75008 PARIS FRANCE 842 CHE DES TAMARIS 83350 RAMATUELLE FRANCE 20 RUE ROBERT NAU 41000 BLOIS FRANCE 27 RUE MARBEUF 75008 PARIS FRANCE 12 RUE DES ARCHES 41000 BLOIS FRANCE 20 RUE BAYARD 75008 PARIS FRANCE 21 RUE VERNET 75008 PARIS FRANCE PL FRANKLIN ROOSEVELT 06400 CANNES FRANCE 6 AV JEAN MEDECIN 06000 NICE FRANCE 2 RUE DES CHANTEMELLES 45140 INGRE FRANCE AEROPORT CHARLES DE GAULLE 95700 ROISSY-EN-FRANCE FRANCE ";291125408;Active
"SCI DU 20 ET 22 RUE DU MAIL 75002 PARIS";12/03/1948;'038686291;"CAROLINE LAURENT, DOMINIQUE LIEGEOIS, CATHERINE LIEGEOIS, FRANCOISE MORVAN, DANIELE MORVAN, NILS VINCK, RENAUD VINCK, GAELLE VINCK";"27 RUE DE PROVENCE 75009 PARIS FRANCE ";"Société civile immobilière";"ACQUISITION D'UN IMMEUBLE A PARIS 2E - 20/22 RUE DU MAIL, GESTION ET EXPLOITATION DUDIT IMMEUBLE, EVENTUELLEMENT SA REVENTE, EN TOTALITE OU PAR APPARTEMENTS";'75;"2 RUE MEISSONIER 75017 PARIS FRANCE 20 RUE DU MAIL 75002 PARIS FRANCE 85 AV PAUL DOUMER 75016 PARIS FRANCE ";1061.05;Active
"COOPER VINICOLE LE VAL D OR";14/03/1948;'780356895;"CALIXTE BONANFANT, PIERRE-CESAR CONREUR, HENRI CESAR CONREUR, JEAN-JACQUES CRUCIFIX, GILLES FOSSIER, FREDERIC LUCIEN JULIEN HUSSON, ERIC GASTON PIERRE MORLET, ROMAIN BORIS REMION, SEBASTIEN FERNAND CHRISTIAN RENAULT, MARIE-JOSE PAULETTE MARCELLE THIBAULT";"RUE GASTON PARIS 51160 AVENAY-VAL-D'OR FRANCE ";"Société coopérative agricole";"collecte, pressurage, vinification de raisin de champagne, vente";'51;;36642;Active
"MESNARD-CATTEAU SA";15/03/1948;'086080595;;"LES BLOTTINS 45340 SAINT-LOUP-DES-VIGNES FRANCE ";"Société par actions simplifiée";"Revêtements sols et murs, feutres aiguilletés, textile technique";'45;"RUE DES PLANTES ZONE INDUSTRIE 45340 BEAUNE-LA-ROLANDE FRANCE ";300000;Active
"ETABLISSEMENTS MIRWASSER G MILGRAM L";15/03/1948;'572150506;"SERGE MIRWASSER, GUSTAVE MIRWASSER, OLIVIER Mirwasser";"123 RUE D'ABOUKIR 75002 PARIS FRANCE ";"SA à conseil d'administration";"FABRICATION ET COMMERCE DE TOUS VETEMENTS CONFECTIONNES POUR HOMMES DAMES ENFANTS VETEMENTS IMPERMEABLES EN CUIR TOUS ARTICLES DE SPORTS CANADIENNES NEGOCE DE TOUS TISSUS ET SOIERIES EN GROS DEMI GROS ET DETAIL ET D'UNE MANIERE GENERALE TOUTES OPERATIONS SE RAPPORTANT DIRECTEMENT OU INDIRECTEMENT A CET OBJET";'75;"125 RUE D'ABOUKIR 75002 PARIS FRANCE ";40000;Active
"SOC FRANCE PUBLICATIONS";15/03/1948;'592058762;"JEAN-MICHEL LOUIS LUCIEN BERTHOLIN, MICHELINE MARCELLE HURTEL";"40 RUE BARBES 92120 MONTROUGE FRANCE ";"Société par actions simplifiée";"DIFFUSION EN FRANCE ET DANS TOUS PAYS DE TOUS JOURNAUX, REVUES, PERIODIQUES ET LIVRES. TOUTES OPERATIONS ACCESSOIRES S'Y RAPPORTANT.";'92;"112 RUE REAUMUR 75002 PARIS FRANCE ";420000;Active
"PORCHER INDUSTRIES";16/03/1948;'553620022;"ETIENNE BORIS, IAN JEFFREY BURGESS, TAAVI KEITH ARTHUR KESKINEN DAVIES, ALVARO LUIS ESTEBAN BELZUZ, ANDRE CLAUDE PIERRE GENTON, RODOLPHE LOPEZ-ALVAREZ, JEAN-LOUP ROUSSEAU";"2440 RD 1085 38300 ECLOSE-BADINIERES FRANCE ";"SA à directoire";"Conception, fabrication, achat, vente, distribution de tous produits textiles ou assimilés et articles confectionnés ou transformés à partir de ces produits.";'38;"163 BD DES ETATS-UNIS 69008 LYON FRANCE   38230 CHAVANOZ FRANCE 38110 CESSIEU FRANCE ";4035668;Active
"MIDI NORD";18/03/1948;'452123128;"JEAN PIERRE BERTHEAU";"1048 RTE DE VALBONNE 06370 MOUANS-SARTOUX FRANCE ";"Société civile immobilière";"Acquisition  et gestion de biens immobiliers";'06;;1067;Active
"CJ ALAIN BOT YANNICK NORMAND ASSOCIES";18/03/1948;'542002720;"YANNICK NORMAND";"74 RUE DE ROME 75008 PARIS FRANCE ";"Société d'exercice libéral à responsabilité limitée";"EXERCICE EN COMMUN DE LA PROFESSION D'AVOCAT";'75;"19 RUE GODOT DE MAUROY 75009 PARIS FRANCE 182 RUE DE RIVOLI 75001 PARIS FRANCE ";10000;Active
"SAINT HILDEVERT";19/03/1948;'422940189;"FRANCOIS DENIS ANDRE NOBLET";"3 BD MONTMORENCY 76220 GOURNAY-EN-BRAY FRANCE ";"Société par actions simplifiée";"Prestations de services";'76;;38150;Active
"SCI UNIBAC";23/03/1948;'316859081;"PASCALE BERNHEIM, MARIE CREMIEUX, ANNE-CLAUDE CREMIEUX, THERESE CREMIEUX, SERGE Toubiana";"56 RUE DE L'UNIVERSITE 75007 PARIS FRANCE ";"Société civile immobilière";"Propriété, administration d'immeubles";'75;"172 RUE JEANNE D'ARC 75013 PARIS FRANCE ";4200;Active
"NOGENT PERCHE HABITAT - OFFICE PUBLIC DE L'HABITAT DE LA COMMUNAUTE DE COMMUNE DU PERCHE";24/03/1948;'272800046;"ELISABETH MICHELINE ALBERTINI, CHRISTIANE BONIMEUX, ROSELYNE CLAUDINE JOCELYNE BRULE, FRANCK CARBONNEL, ALICE MARIE ANNE CROSNIER, MARION NOELLE DANY DECRAEMERE, MICHEL MARIE ROGER CLEMENT DESIRE DEFAY, JEAN-CLAUDE PIERRE GASTON DORDOIGNE, PIERRETTE GAROT, ERIC PASCAL GIRONDEAU, DAVID LOUIS ROGER GOMES, HAROLD HUWART, MARIE-CLAUDE MOUSSEAU, MARIE CATHY BERNADETTE POIRIER, THIERRY ROBERT MAURICE REPELLIN, BEATRICE ANGELITA RUIZ, RACHID SOUKTANI";"14 RUE DU CHAMP BOSSU 28400 NOGENT-LE-ROTROU FRANCE ";"Etablissement public local à caractère industriel ou commercial";"Location de logements";'28;;;Active
COSMOTEL;26/03/1948;'552002818;;"17 BD DE STRASBOURG 75010 PARIS FRANCE ";"Société par actions simplifiée";"Hôtel meublé";'75;;86400;Active
"C.U.M.A. DE ST JULIEN D'ODDES";26/03/1948;'411161425;"CHRISTIAN FRANCOIS BRAY, REMY CHAUX, JEAN-MICHEL DEBOUT, BENOIT DUFFAUD, CHRISTOPHE ETAIX, FRANCOIS GARRIVIER, PASCAL MARCOUX, THIERRY PONCET, HERVE THOMAS";" Mairie 42260 SAINT JULIEN D'ODDES FRANCE ";"CUMA - Coopérative d'utilisation de matériel agricole en commun";"Mise à disposition de matériel agricole.";'42;;;Active
GINISTY;26/03/1948;'786509919;"CLAIRE GINISTY, GUILLAUME GINISTY";"7 CHAMP DUNAND 74200 THONON LES BAINS FRANCE ";"Société par actions simplifiée";"Achat et vente en gros ou au détail de bois et de produits dérivés, d'articles et matériaux intéressant le bricolage et la construction, pour le bâtiment, l'industrie et le grand public. Installation et maintenance de poêles et d'inserts à bûches et à granulés de bois, au gaz et de chaudières hydrauliques, fumisterie.";'74;"10 RUE DES ITALIENS 74200 THONON-LES-BAINS FRANCE 12 RUE DES NEGOCIANTS 74100 AMBILLY FRANCE 12 AV DES ALPES 74300 CLUSES FRANCE 20 AV DE MANDALLAZ 74000 ANNECY FRANCE 4 CHE DU TREIGE 74000 ANNECY FRANCE RUE DE LA COTE 74100 ANNEMASSE FRANCE ZONE INDUSTRIELLE 73420 VOGLANS FRANCE 963 AV ANDRE LASQUIN 74700 SALLANCHES FRANCE 4 RUE DU PAMPHIOT 74200 THONON-LES-BAINS FRANCE 42 RUE CLAUDE BALLALOUD 74950 SCIONZIER FRANCE 3 ALL DES VERNAIES 74230 THONES FRANCE ";500000;Active
"COOP AGRIC TRAV MECANIQ CUISY EN ALMONT";27/03/1948;'302728456;"CLEMENT JACK GERMAIN CAPPE, ARNAUD ANDRE DUVAL, GAEL LEBASTARD";"6 RUE DE LA MAISON BLEUE 02200 CUISY-EN-ALMONT FRANCE ";"Société coopérative agricole";"Mise à disposition de matériels et de main d'oeuvre pour les travaux agricoles.";'02;;43106.48;Active
"HEALTH & HAPPINESS FRANCE";31/03/1948;'612030767;"FEI LUO";"105 RUE ANATOLE FRANCE 92300 LEVALLOIS-PERRET FRANCE ";"Société par actions simplifiée";"Toutes opérations liées au négoce, à la mise sur le marché et à la commercialisation dans les circuits dits pharmaceutiques - pharmacies et grossiste en pharmacie - et dans les circuits dits de Grande Distribution, de tous produits d'hygiène et de beauté ; la conception, industrialisation, fabrication, négoce et distribution de plats cuisinés, et plus généralement de tous produits alimentaires, pour tout âge ; la vente directe ou en ligne de lait infantile, probiotiques, compléments alimentaires vitamines, produits de nutrition et de soins infantiles, l'exploitation de tous laboratoires pour la préparation de tous produits d'hygiène et de beauté";'92;"19 BD GEORGES CLEMENCEAU 92400 COURBEVOIE FRANCE 1 RUE CAMILLE DESMOULINS 92130 ISSY-LES-MOULINEAUX FRANCE 242 RUE DE RIVOLI 75001 PARIS FRANCE 16 RUE RIVAY 92300 LEVALLOIS-PERRET FRANCE ";15872413.9;Active
"SCI DE GALICE";31/03/1948;'300735792;"FREDERIC ROULIOT, SYLVIE ROULIOT, GEORGES ROULIOT";"RTE DE LOQUI 13100 AIX-EN-PROVENCE FRANCE ";"Société civile immobilière";"Propriété, administration, exploitation, location, métayage de tous immeubles, leur mise en valeur, achat, prise à bail, aliénation de tous immeubles";'13;;4567;Active
"GROUP IMMOB REGION ARMENTIERES";31/03/1948;'783502719;"BERTRAND VANDENHOVE";"187 BD FAIDHERBE 59280 ARMENTIERES FRANCE ";"Société à responsabilité limitée";"Achat, prise en location de tous terrains pouvant servir à ériger des habitations, acquisition, cons truction, vente, location d'habitations ainsi que leurs dépendances ou annexes, tels que jardins, bains et lavoirs dans le canton d'Armentières. La gestion d'immeubles ainsi que toutes activités de prestations de services.";'59;"1 RUE PAUL POUCHAIN 59280 ARMENTIERES FRANCE ";10863;Active
"KAUFEL SA";01/04/1948;'562077230;"FABIEN LALEUF, CLAUDE JEANNE HENRIETTE SINTES, FRANCOIS MARIE LYONEL ROUSSEAU";"RTE DE SAINT MARTIN D’ORDON 89330 PIFFONDS FRANCE ";"SA à conseil d'administration";"La fabrication et la vente en gros de tous matériels électriques ou d'articles similaires ou connexes";'89;"75 RUE VAUVENARGUES 75018 PARIS FRANCE 1 CHE DES VIGNES 93000 BOBIGNY FRANCE 2 AV HENRI BARBUSSE 93000 BOBIGNY FRANCE 20 RUE VERDI 93130 NOISY-LE-SEC FRANCE RTE DE SAINT MARTIN D’ORDON 89330 PIFFONDS FRANCE ";250057.92;Active
